obj,rel,sbj
53,3,81
3,3,12
46,3,74
15,3,59
21,3,27
97,3,101
0,3,73
44,3,72
52,3,98
16,3,67
32,3,67
25,3,74
24,3,29
56,3,81
2,3,62
0,3,7
26,3,55
70,3,78
22,3,66
48,3,56
21,3,22
15,3,53
62,3,74
57,3,84
31,3,50
7,3,73
9,3,41
15,3,77
1,3,79
14,3,57
19,3,55
60,3,65
48,3,91
23,3,72
21,3,42
11,3,54
19,3,25
32,3,64
10,3,57
11,3,63
34,3,43
14,3,63
6,3,103
95,3,101
29,3,73
41,3,62
5,3,57
36,3,64
49,3,66
62,3,95
89,3,98
16,3,70
14,3,38
34,3,85
65,3,74
4,3,54
22,3,79
19,3,20
12,3,35
39,3,40
59,3,78
10,3,38
82,3,93
33,3,89
28,3,65
32,3,77
22,3,33
66,3,68
2,3,30
22,3,52
11,3,95
48,3,83
18,3,44
25,3,55
65,3,99
1,3,88
2,3,5
26,3,60
59,3,96
12,3,79
68,3,79
4,3,63
1,3,22
13,3,40
2,3,60
75,3,84
99,3,101
12,3,22
16,3,21
54,3,69
85,3,87
43,3,84
2,3,18
53,3,68
63,3,80
37,3,88
19,3,50
101,3,102
28,3,102
27,3,90
8,3,53
17,3,68
42,3,59
28,3,101
22,3,67
58,3,60
34,3,86
38,3,51
34,3,87
39,3,61
37,3,92
35,3,96
21,3,52
14,3,54
21,3,29
58,3,74
54,3,99
16,3,98
35,3,89
8,3,73
33,3,35
56,3,87
85,3,86
52,3,73
54,3,63
14,3,102
3,3,27
14,3,74
1,3,33
10,3,41
81,3,103
12,3,98
26,3,31
65,3,102
82,3,103
7,3,88
2,3,4
35,3,94
16,3,24
16,3,33
32,3,78
7,3,32
10,3,18
49,3,52
14,3,30
3,3,33
30,3,61
7,3,29
83,3,86
47,3,83
52,3,68
38,3,102
12,3,29
48,3,87
54,3,97
32,3,96
41,3,46
61,3,101
54,3,62
10,3,63
63,3,65
55,3,72
83,3,92
48,3,53
82,3,87
39,3,69
26,3,41
21,3,24
42,3,94
57,3,63
16,3,59
32,3,37
85,3,97
51,3,69
15,3,78
14,3,51
1,3,89
25,3,40
35,3,98
61,3,102
67,3,79
16,3,96
67,3,73
16,3,78
38,3,54
87,3,93
53,3,88
13,3,46
14,3,62
15,3,24
88,3,94
10,3,102
57,3,75
51,3,54
33,3,96
62,3,102
36,3,82
30,3,63
77,3,78
22,3,24
68,3,78
21,3,79
41,3,44
67,3,88
86,3,93
12,3,24
82,3,91
8,3,64
39,3,102
29,3,67
2,3,65
83,3,93
0,3,36
77,3,90
35,3,42
23,3,28
35,3,52
24,3,66
52,3,59
80,3,99
4,3,38
17,3,64
21,3,45
16,3,66
35,3,45
1,3,77
21,3,59
1,3,32
1,3,15
17,3,103
47,3,93
15,3,94
73,3,94
1,3,16
78,3,98
39,3,84
86,3,91
51,3,95
42,3,52
69,3,84
17,3,37
7,3,83
11,3,51
35,3,49
35,3,77
49,3,96
28,3,40
27,3,59
66,3,78
34,3,84
24,3,32
91,3,92
1,3,29
52,3,79
30,3,80
29,3,77
44,3,58
11,3,97
15,3,52
39,3,97
28,3,74
14,3,65
59,3,94
33,3,64
69,3,80
33,3,90
89,3,100
25,3,28
8,3,92
18,3,31
63,3,102
18,3,28
61,3,75
